Symbol,Buy,Sell,Neutral
360ONE.NS,✔️,-,-
3MINDIA.NS,✔️,-,-
ABB.NS,-,✔️,-
ACC.NS,-,✔️,-
AWL.NS,✔️,-,-
ABCAPITAL.NS,-,✔️,-
ABFRL.NS,✔️,-,-
AETHER.NS,✔️,-,-
AFFLE.NS,✔️,-,-
AJANTPHARM.NS,✔️,-,-
APLLTD.NS,✔️,-,-
ALKEM.NS,✔️,-,-
ALKYLAMINE.NS,✔️,-,-
ALLCARGO.NS,-,✔️,-
ALOKINDS.NS,-,✔️,-
ARE&M.NS,✔️,-,-
AMBER.NS,✔️,-,-
AMBUJACEM.NS,✔️,-,-
ANANDRATHI.NS,-,✔️,-
ANGELONE.NS,-,✔️,-
ANURAS.NS,-,✔️,-
APARINDS.NS,✔️,-,-
APOLLOHOSP.NS,✔️,-,-
APOLLOTYRE.NS,✔️,-,-
APTUS.NS,-,✔️,-
ACI.NS,✔️,-,-
ASAHIINDIA.NS,✔️,-,-
ASHOKLEY.NS,✔️,-,-
ASIANPAINT.NS,✔️,-,-
ASTERDM.NS,✔️,-,-
ASTRAZEN.NS,✔️,-,-
ASTRAL.NS,-,✔️,-
ATUL.NS,✔️,-,-
AUROPHARMA.NS,✔️,-,-
AVANTIFEED.NS,✔️,-,-
DMART.NS,✔️,-,-
AXISBANK.NS,✔️,-,-
BEML.NS,✔️,-,-
BLS.NS,✔️,-,-
BSE.NS,-,✔️,-
BAJAJ-AUTO.NS,✔️,-,-
BAJFINANCE.NS,-,✔️,-
BAJAJFINSV.NS,✔️,-,-
BAJAJHLDNG.NS,✔️,-,-
BALAMINES.NS,✔️,-,-
BALKRISIND.NS,✔️,-,-
BALRAMCHIN.NS,✔️,-,-
BANDHANBNK.NS,✔️,-,-
BANKBARODA.NS,-,✔️,-
BANKINDIA.NS,-,✔️,-
MAHABANK.NS,-,✔️,-
BATAINDIA.NS,✔️,-,-
BAYERCROP.NS,✔️,-,-
BERGEPAINT.NS,✔️,-,-
BDL.NS,✔️,-,-
BEL.NS,✔️,-,-
BHARATFORG.NS,✔️,-,-
BHEL.NS,✔️,-,-
BPCL.NS,✔️,-,-
BHARTIARTL.NS,✔️,-,-
BIKAJI.NS,✔️,-,-
BIOCON.NS,✔️,-,-
BIRLACORPN.NS,-,✔️,-
BSOFT.NS,✔️,-,-
BLUEDART.NS,✔️,-,-
BLUESTARCO.NS,✔️,-,-
BBTC.NS,✔️,-,-
BORORENEW.NS,✔️,-,-
BOSCHLTD.NS,✔️,-,-
BRIGADE.NS,-,✔️,-
BRITANNIA.NS,✔️,-,-
MAPMYINDIA.NS,✔️,-,-
CCL.NS,✔️,-,-
CESC.NS,✔️,-,-
CGPOWER.NS,✔️,-,-
CIEINDIA.NS,✔️,-,-
CRISIL.NS,✔️,-,-
CSBBANK.NS,-,✔️,-
CAMPUS.NS,✔️,-,-
CANFINHOME.NS,✔️,-,-
CANBK.NS,-,✔️,-
CAPLIPOINT.NS,✔️,-,-
CGCL.NS,-,✔️,-
CARBORUNIV.NS,✔️,-,-
CASTROLIND.NS,✔️,-,-
CEATLTD.NS,✔️,-,-
CELLO.NS,✔️,-,-
CENTRALBK.NS,-,✔️,-
CDSL.NS,✔️,-,-
CENTURYPLY.NS,✔️,-,-
CENTURYTEX.NS,✔️,-,-
CERA.NS,✔️,-,-
CHALET.NS,-,✔️,-
CHAMBLFERT.NS,✔️,-,-
CHEMPLASTS.NS,✔️,-,-
CHENNPETRO.NS,✔️,-,-
CHOLAHLDNG.NS,✔️,-,-
CHOLAFIN.NS,✔️,-,-
CIPLA.NS,✔️,-,-
CUB.NS,✔️,-,-
CLEAN.NS,✔️,-,-
COALINDIA.NS,✔️,-,-
COCHINSHIP.NS,✔️,-,-
COFORGE.NS,✔️,-,-
COLPAL.NS,✔️,-,-
CAMS.NS,✔️,-,-
CONCORDBIO.NS,✔️,-,-
CONCOR.NS,-,✔️,-
COROMANDEL.NS,✔️,-,-
CRAFTSMAN.NS,✔️,-,-
CREDITACC.NS,-,✔️,-
CROMPTON.NS,✔️,-,-
CUMMINSIND.NS,✔️,-,-
CYIENT.NS,✔️,-,-
DCMSHRIRAM.NS,✔️,-,-
DLF.NS,-,✔️,-
DOMS.NS,✔️,-,-
DABUR.NS,✔️,-,-
DALBHARAT.NS,✔️,-,-
DATAPATTNS.NS,✔️,-,-
DEEPAKFERT.NS,✔️,-,-
DEEPAKNTR.NS,✔️,-,-
DELHIVERY.NS,-,✔️,-
DEVYANI.NS,✔️,-,-
DIVISLAB.NS,✔️,-,-
DIXON.NS,✔️,-,-
LALPATHLAB.NS,✔️,-,-
DRREDDY.NS,✔️,-,-
EIDPARRY.NS,✔️,-,-
EIHOTEL.NS,-,✔️,-
EPL.NS,✔️,-,-
EASEMYTRIP.NS,-,✔️,-
EICHERMOT.NS,✔️,-,-
ELECON.NS,✔️,-,-
ELGIEQUIP.NS,✔️,-,-
EMAMILTD.NS,✔️,-,-
ENDURANCE.NS,✔️,-,-
ENGINERSIN.NS,-,✔️,-
EQUITASBNK.NS,-,✔️,-
ERIS.NS,✔️,-,-
ESCORTS.NS,✔️,-,-
EXIDEIND.NS,✔️,-,-
FDC.NS,✔️,-,-
NYKAA.NS,✔️,-,-
FEDERALBNK.NS,✔️,-,-
FACT.NS,✔️,-,-
FINEORG.NS,✔️,-,-
FINCABLES.NS,✔️,-,-
FINPIPE.NS,-,✔️,-
FSL.NS,✔️,-,-
FIVESTAR.NS,-,✔️,-
FORTIS.NS,✔️,-,-
GAIL.NS,✔️,-,-
GMMPFAUDLR.NS,✔️,-,-
GMRINFRA.NS,✔️,-,-
GRSE.NS,✔️,-,-
GICRE.NS,✔️,-,-
GILLETTE.NS,✔️,-,-
GLAND.NS,✔️,-,-
GLAXO.NS,✔️,-,-
GLS.NS,✔️,-,-
GLENMARK.NS,✔️,-,-
MEDANTA.NS,-,✔️,-
GPIL.NS,✔️,-,-
GODFRYPHLP.NS,✔️,-,-
GODREJCP.NS,✔️,-,-
GODREJIND.NS,✔️,-,-
GODREJPROP.NS,✔️,-,-
GRANULES.NS,✔️,-,-
GRAPHITE.NS,-,✔️,-
GRASIM.NS,✔️,-,-
GESHIP.NS,✔️,-,-
GRINDWELL.NS,✔️,-,-
GAEL.NS,-,✔️,-
FLUOROCHEM.NS,✔️,-,-
GUJGASLTD.NS,✔️,-,-
GMDCLTD.NS,-,✔️,-
GNFC.NS,-,✔️,-
GPPL.NS,✔️,-,-
GSFC.NS,✔️,-,-
GSPL.NS,✔️,-,-
HEG.NS,-,✔️,-
HBLPOWER.NS,✔️,-,-
HCLTECH.NS,✔️,-,-
HDFCAMC.NS,✔️,-,-
HDFCBANK.NS,✔️,-,-
HDFCLIFE.NS,✔️,-,-
HFCL.NS,✔️,-,-
HAPPSTMNDS.NS,-,✔️,-
HAPPYFORGE.NS,✔️,-,-
HAVELLS.NS,✔️,-,-
HEROMOTOCO.NS,✔️,-,-
HSCL.NS,✔️,-,-
HINDALCO.NS,-,✔️,-
HAL.NS,✔️,-,-
HINDCOPPER.NS,-,✔️,-
HINDPETRO.NS,✔️,-,-
HINDUNILVR.NS,✔️,-,-
HINDZINC.NS,-,✔️,-
POWERINDIA.NS,✔️,-,-
HOMEFIRST.NS,✔️,-,-
HONASA.NS,✔️,-,-
HONAUT.NS,✔️,-,-
HUDCO.NS,✔️,-,-
ICICIBANK.NS,✔️,-,-
ICICIGI.NS,✔️,-,-
ICICIPRULI.NS,✔️,-,-
ISEC.NS,✔️,-,-
IDBI.NS,✔️,-,-
IDFCFIRSTB.NS,-,✔️,-
IDFC.NS,-,✔️,-
IIFL.NS,✔️,-,-
IRB.NS,-,✔️,-
IRCON.NS,✔️,-,-
ITC.NS,✔️,-,-
ITI.NS,✔️,-,-
INDIACEM.NS,✔️,-,-
INDIAMART.NS,✔️,-,-
INDIANB.NS,✔️,-,-
IEX.NS,✔️,-,-
INDHOTEL.NS,✔️,-,-
IOC.NS,✔️,-,-
IOB.NS,-,✔️,-
IRCTC.NS,-,✔️,-
IRFC.NS,✔️,-,-
INDIGOPNTS.NS,✔️,-,-
IGL.NS,✔️,-,-
INDUSTOWER.NS,✔️,-,-
INDUSINDBK.NS,-,✔️,-
NAUKRI.NS,✔️,-,-
INFY.NS,✔️,-,-
INOXWIND.NS,✔️,-,-
INTELLECT.NS,✔️,-,-
INDIGO.NS,✔️,-,-
IPCALAB.NS,✔️,-,-
JBCHEPHARM.NS,✔️,-,-
JKCEMENT.NS,✔️,-,-
JBMA.NS,-,✔️,-
JKLAKSHMI.NS,✔️,-,-
JKPAPER.NS,✔️,-,-
JMFINANCIL.NS,✔️,-,-
JSWENERGY.NS,✔️,-,-
JSWINFRA.NS,✔️,-,-
JSWSTEEL.NS,✔️,-,-
JAIBALAJI.NS,-,✔️,-
J&KBANK.NS,-,✔️,-
JINDALSAW.NS,✔️,-,-
JSL.NS,-,✔️,-
JINDALSTEL.NS,-,✔️,-
JIOFIN.NS,-,✔️,-
JUBLFOOD.NS,✔️,-,-
JUBLINGREA.NS,✔️,-,-
JUBLPHARMA.NS,✔️,-,-
JWL.NS,✔️,-,-
JUSTDIAL.NS,✔️,-,-
JYOTHYLAB.NS,✔️,-,-
KPRMILL.NS,✔️,-,-
KEI.NS,✔️,-,-
KNRCON.NS,✔️,-,-
KPITTECH.NS,✔️,-,-
KRBL.NS,✔️,-,-
KSB.NS,-,✔️,-
KAJARIACER.NS,✔️,-,-
KPIL.NS,✔️,-,-
KALYANKJIL.NS,✔️,-,-
KANSAINER.NS,✔️,-,-
KARURVYSYA.NS,✔️,-,-
KAYNES.NS,✔️,-,-
KEC.NS,✔️,-,-
KFINTECH.NS,✔️,-,-
KOTAKBANK.NS,✔️,-,-
KIMS.NS,✔️,-,-
LTF.NS,✔️,-,-
LTTS.NS,✔️,-,-
LICHSGFIN.NS,✔️,-,-
LTIM.NS,✔️,-,-
LT.NS,✔️,-,-
LATENTVIEW.NS,✔️,-,-
LAURUSLABS.NS,✔️,-,-
LXCHEM.NS,✔️,-,-
LEMONTREE.NS,-,✔️,-
LICI.NS,✔️,-,-
LINDEINDIA.NS,-,✔️,-
LLOYDSME.NS,✔️,-,-
LUPIN.NS,✔️,-,-
MMTC.NS,✔️,-,-
MRF.NS,✔️,-,-
MTARTECH.NS,-,✔️,-
LODHA.NS,-,✔️,-
MGL.NS,✔️,-,-
MAHSEAMLES.NS,-,✔️,-
M&MFIN.NS,✔️,-,-
M&M.NS,✔️,-,-
MHRIL.NS,✔️,-,-
MAHLIFE.NS,-,✔️,-
MANAPPURAM.NS,✔️,-,-
MRPL.NS,-,✔️,-
MANKIND.NS,✔️,-,-
MARICO.NS,✔️,-,-
MARUTI.NS,-,✔️,-
MASTEK.NS,✔️,-,-
MFSL.NS,✔️,-,-
MAXHEALTH.NS,✔️,-,-
MAZDOCK.NS,✔️,-,-
MEDPLUS.NS,-,✔️,-
METROBRAND.NS,✔️,-,-
METROPOLIS.NS,✔️,-,-
MINDACORP.NS,✔️,-,-
MSUMI.NS,✔️,-,-
MOTILALOFS.NS,✔️,-,-
MPHASIS.NS,✔️,-,-
MCX.NS,✔️,-,-
MUTHOOTFIN.NS,✔️,-,-
NATCOPHARM.NS,✔️,-,-
NBCC.NS,✔️,-,-
NCC.NS,✔️,-,-
NHPC.NS,✔️,-,-
NLCINDIA.NS,✔️,-,-
NMDC.NS,-,✔️,-
NSLNISP.NS,-,✔️,-
NTPC.NS,✔️,-,-
NH.NS,✔️,-,-
NATIONALUM.NS,-,✔️,-
NAVINFLUOR.NS,✔️,-,-
NAZARA.NS,✔️,-,-
NFL.NS,✔️,-,-
NESTLEIND.NS,✔️,-,-
NETWORK18.NS,✔️,-,-
NILKAMAL.NS,-,✔️,-
NOCIL.NS,✔️,-,-
NUVOCO.NS,✔️,-,-
NYKAA.NS,✔️,-,-
OBEROIRLTY.NS,✔️,-,-
ONGC.NS,✔️,-,-
OLECTRA.NS,-,✔️,-
ORIENTELEC.NS,✔️,-,-
PAYTM.NS,✔️,-,-
PNB.NS,-,✔️,-
PFS.NS,✔️,-,-
PGHH.NS,✔️,-,-
PHOENIXLTD.NS,✔️,-,-
PIDILITIND.NS,✔️,-,-
PIIND.NS,✔️,-,-
PNBHOUSING.NS,✔️,-,-
PATELENG.NS,-,✔️,-
PRECISION.NS,✔️,-,-
RBLBANK.NS,-,✔️,-
RBL.NS,✔️,-,-
RECLTD.NS,✔️,-,-
RELINFRA.NS,✔️,-,-
RUPA.NS,✔️,-,-
RELIANCE.NS,✔️,-,-
RTNINDIA.NS,✔️,-,-
SEQUENT.NS,✔️,-,-
SFL.NS,✔️,-,-
SILVER.NS,-,✔️,-
SOMANYCERA.NS,✔️,-,-
SHAREINDIA.NS,-,✔️,-
SANDHAR.NS,✔️,-,-
SUNPHARMA.NS,✔️,-,-
SYNGENE.NS,✔️,-,-
TATACONSUM.NS,✔️,-,-
TATAMOTORS.NS,✔️,-,-
TATAPOWER.NS,-,✔️,-
TATACHEM.NS,-,✔️,-
TATASTEEL.NS,-,✔️,-
TCNSBRANDS.NS,✔️,-,-
TECHM.NS,✔️,-,-
TEJASNET.NS,✔️,-,-
TERASOFT.NS,✔️,-,-
THYROCARE.NS,✔️,-,-
TITAN.NS,✔️,-,-
TOUCHWOOD.NS,✔️,-,-
UCOBANK.NS,-,✔️,-
UPL.NS,✔️,-,-
UJJIVAN.NS,-,✔️,-
UNIONBANK.NS,-,✔️,-
UTIAMC.NS,✔️,-,-
VAIBHAVGBL.NS,-,✔️,-
VBL.NS,✔️,-,-
VIRINCHI.NS,-,✔️,-
VIPIND.NS,-,✔️,-
VSTIND.NS,✔️,-,-
VBL.NS,✔️,-,-
VTL.NS,✔️,-,-
V2RETAIL.NS,✔️,-,-
VIRINCHI.NS,-,✔️,-
VIRINCHI.NS,-,✔️,-
YESBANK.NS,✔️,-,-
ZOMATO.NS,✔️,-,-
